,DocNum,DocContent
29,30,"['The Government of India honoured him with the Padma Shri in 1984, the Padma Bhushan in 2001 and the Padma Vibhushan in 2015 for his contributions to the arts.', ""Authorities had issued a warrant for Richards' arrest and the other band members had to return briefly to France for questioning."", 'Modi wrote a foreword to a textbook by Dinanath Batra released in 2014, which stated that ancient India possessed technologies including test-tube babies.', ""In July 2008 the Rolling Stones left EMI to sign with Vivendi's Universal Music, taking with them their catalogue stretching back to Sticky Fingers."", 'Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.', 'Approximately 150,000 people were driven to refugee camps.', 'Tendulkar has scored over 1000 runs in a calendar year in ODIs 7 times, and in 1998 he scored 1,894 runs, the record for the highest number of runs scored by any player in a single calendar year for One-Day Internationals.', 'Notably, despite the lack of hits, it was during this era that Bachchan won his first National Film Award for Best Actor for his performance as a Mafia don in the 1990 cult film Agneepath.', 'In interviews, Modi has described visiting Hindu ashrams founded by Swami Vivekananda: the Belur Math near Kolkata, followed by the Advaita Ashrama in Almora and the Ramakrishna Mission in Rajkot.', 'Bachchan has denied the allegation.']"
30,31,"['4147 Lennon, 4148 McCartney, 4149 Harrison, 4150 Starr and 8749 Beatles are five asteroids nammed after the Beatles.', 'The Recording Industry Association of America certifies that the Beatles have sold 178 million units in the US, more than any other artist.', 'In October 2018, Modi received UN\'s highest environmental award, the \'Champions of the Earth\', for policy leadership by ""pioneering work in championing"" the International Solar Alliance and ""new areas of levels of cooperation on environmental action"".', 'Of Stewart\'s decision, Oldham later said, ""Well, he just doesn\'t look the part, and six is too many for  to remember the faces in the picture.""', ""Originally intended for a one-hour television programme to be called Beatles at Work, in the event much of the album's content came from studio work beginning in January 1969, many hours of which were captured on film by director Michael Lindsay-Hogg."", ""Modi emphasised his government's efforts at sanitation as a means of ensuring good health."", 'These contributions will be of immense help in providing assistance to the persons in distress.', 'In a reversal of then standard practice, EMI released the album ahead of the impending single ""I Want to Hold Your Hand"", with the song excluded to maximise the single\'s sales.', 'We were very pop-orientated.', 'A substantial portion of the military budget was devoted to personnel costs, leading commentators to write that the budget was constraining Indian military modernisation.']"
31,32,"['He raised his offer to $30 million in January 1976 and then to $50 million the following month.', 'Tendulkar spent his formative years in the Sahitya Sahawas Cooperative Housing Society in Bandra (East).', 'Harrison called Rubber Soul his ""favourite album"" and Starr referred to it as ""the departure record"".', 'In the interim came The Beatles, a double LP commonly known as the White Album for its virtually featureless cover.', 'In addition to more conventional campaign methods, Modi made extensive use of social media, and addressed more than 1000 rallies via hologram appearances.', 'He was charged with importing narcotics into Canada, an offence that carried a minimum seven-year sentence.', 'Of Stewart\'s decision, Oldham later said, ""Well, he just doesn\'t look the part, and six is too many for  to remember the faces in the picture.""', 'The series was a historical milestone as the first weekly television series to feature animated versions of real, living people.', 'He began a high-profile sanitation campaign and weakened or abolished environmental and labour laws.', 'The funds dedicated to poverty reduction programmes and social welfare measures were greatly decreased by the Modi administration.']"
32,33,"[""That gave us extraordinary confidence to carry on, because at the beginning songwriting was something we were going to do in order to say to Andrew , 'Well, at least we gave it a try\xa0...'"", 'For Lennon and Harrison, creativity turned to questioning when an electronics technician known as Magic Alex suggested that the Maharishi was attempting to manipulate them.', 'In 2014, Yellapragada Sudershan Rao, who had previously been associated with the RSS, chairperson of the Indian Council of Historical Research (ICHR).', 'It was later identified by Richards as ""the bridge into thinking about writing for the Stones.', 'Other changes included reducing ministry oversight on small mining projects, and no longer requiring approval from tribal councils for projects inside forested areas.', 'The SIT questioned Modi in March 2010; in May, it presented to the court a report finding no evidence against him.', ""The group's popularity generated unprecedented interest in British music, and a number of other UK acts subsequently made their own American debuts, successfully touring over the next three years in what was termed the British Invasion."", 'According to Gilmore:', 'As a result, former Australian captain Ian Chappell, brother of Greg, called for Tendulkar to retire in his newspaper column.', 'His death left the group disoriented and fearful about the future.']"
33,34,"['Lennon said little thought went into composition at the time; he and McCartney were ""just writing songs à la Everly Brothers, à la Buddy Holly, pop songs with no more thought of them than that – to create a sound.', '6 in the UK and No.', 'First aired on Boxing Day, the Magical Mystery Tour film, largely directed by McCartney, brought the group their first major negative UK press.', ""He played a part in India's victory in Mumbai in that series with a fast 55, though Australia took the series 2–1."", ""Who knows where these things come from, but I guess  was a reaction to what we'd done in our time off and also that severe dose of reality."", 'Nonetheless, Modi retained connections with some Hindu nationalists.', 'He was the first Indian prime minister to do so.', ""They were collectively included in Time magazine's compilation of the twentieth century's 100 most influential people."", 'Other commentators such as Mikal Gilmore and Todd Leopold have traced the inception of their socio-cultural impact earlier, interpreting even the Beatlemania period, particularly on their first visit to the United States, as a key moment in the development of generational awareness.', 'Historians and former members of the ICHR, including those sympathetic to the BJP, questioned his credentials as a historian, and stated that the appointment was part of an agenda of cultural nationalism.']"
34,35,"[""The accompanying Voodoo Lounge Tour lasted into the following year and grossed $320 million, becoming the world's highest-grossing tour at the time."", ""I didn't learn them because I already knew them, but that happened to be the key that opened the door to reveal them."", ""In response to a petition from Zakia Jafri (widow of Ehsan Jafri, who was killed in the Gulbarg Society massacre), in April 2009 the court also asked the SIT to investigate the issue of Modi's complicity in the killings."", 'In 2007 Modi authored Karmayog, a 101-page booklet discussing manual scavenging.', 'A week later, Sgt.', 'The first stable line-up consisted of bandleader Brian Jones (guitar, harmonica, keyboards), Mick Jagger (lead vocals, harmonica), Keith Richards (guitar, vocals), Bill Wyman (bass guitar), Charlie Watts (drums) and Ian Stewart (piano).', 'Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical music and traditional pop in innovative ways, and they later explored music styles ranging from ballads and Indian music to psychedelia and hard rock.', 'Five weeks later, engineer Glyn Johns, whom Lewisohn describes as Get Back\'s ""uncredited producer"", began work assembling an album, given ""free rein"" as the band ""all but washed their hands of the entire project"".', 'In 2018, the World Health Organization stated that at least 180,000 diarrhoeal deaths were averted in rural India after the launch of the sanitation effort.', 'India went on to win that match.']"
35,36,"['He bickers with the maids, harrows his hapless helper, and expects that Piku stay unmarried so she can attend to him.', ""At one point, to ward off a possible suitor, he casually mentions that his daughter isn't a virgin; that she's financially independent and sexually independent too."", ""Originally intended for a one-hour television programme to be called Beatles at Work, in the event much of the album's content came from studio work beginning in January 1969, many hours of which were captured on film by director Michael Lindsay-Hogg."", 'The single ""Streets of Love"" reached the top 15 in the UK.', 'He received positive reviews from critics who hailed his performance as his best ever since Black.', ""The boom in cotton production and its semi-arid land use led to Gujarat's agricultural sector growing at an average rate of 9.6 percent from 2001 to 2007."", '9 in the US.', 'He required an emergency splenectomy and remained critically ill in hospital for many months, at times close to death.', 'It reached No.', ""Epstein, in an effort to maximise the Beatles' commercial potential, encouraged them to adopt a professional approach to performing.""]"
36,37,"['The film was notable for portraying Bachchan as a romantic hero, a far cry from his ""angry young man"" roles like Zanjeer and Deewar.', ""In 1968, they founded Apple Corps, a multi-armed multimedia corporation that continues to oversee projects related to the band's legacy."", 'Harrison rewrote the lyrics of his song ""All Those Years Ago"" in Lennon\'s honour.', 'Indiatimes Movies ranks Deewaar amongst the Top 25 Must See Bollywood Films.', 'Bhashkor\'s life and conversation may revolve around his constipation and fussy hypochondria, but there\'s no mistaking the scene-stealing energy that Mr. Bachchan, India\'s erstwhile Angry Young Man, musters for his new role of Cranky Old Man.""', 'The single ""The Last Time"", released in February, was the first Jagger/Richards composition to reach No.', 'After the successes of the Steel Wheels/Urban Jungle tours, the band took a break.', 'Although Modi later denied it, he made significant use of anti-Muslim rhetoric during his campaign, and the BJP profited from religious polarisation among the voters.', ""The band got three times a new act's typical royalty rate, full artistic control of recordings and ownership of the recording master tapes."", 'Bachchan has been involved with many social causes.']"
37,38,"['Sarkar Raj, the sequel of the 2005 film Sarkar, released in June 2008 and received a positive response at the box office.', ""The series described alleged LSD parties hosted by The Moody Blues attended by top stars including The Who's Pete Townshend and Cream's Ginger Baker, and alleged admissions of drug use by leading pop musicians."", 'He supported the campaign by PETA in India to free Sunder, a 14-year-old elephant who was chained and tortured in a temple in Kolhapur, Maharashtra.', 'According to The Economic Times, his intention was to explain the workings of the RSS to his readers and to reassure RSS members that he remained ideologically aligned with them.', 'It was the Stones first album for CBS with an outside producer, Steve Lillywhite.', 'Like we know from Prakash Mehra movies, into each life some Bachchan must fall.', ""The following day, The Night That Changed America: A Grammy Salute to The Beatles television special was taped in the Los Angeles Convention Center's West Hall."", 'Two months later, the group suffered a loss that threw their career into turmoil.', ""Bachchan made his film debut in 1969, as a voice narrator in Mrinal Sen's National Award-winning film Bhuvan Shome."", 'During the 1975 Tour of the Americas, arena shows became an industry for the band, and the Stones hired a new lighting director, Jules Fisher.']"
38,39,"['The Stones moved to the South of France, where Richards rented the Villa Nellcôte and sublet rooms to band members and their entourage.', 'The company went into administration and was later declared a failed company by the Indian Industries board.', 'Modi was named the Best Chief Minister in a 2007 nationwide survey by India Today.', 'In 1974, Bachchan made several guest appearances in films such as Kunwara Baap and Dost, before playing a supporting role in Roti Kapda Aur Makaan.', 'In 1982, ACC was acquired in a takeover by Australian business magnate Robert Holmes à Court for £60 million.', 'Jagger and Richards decided to write songs together.', 'The film was based on the hijacking incident of the Indian Airlines Flight 814.', 'In August, journalist Al Aronowitz arranged for the Beatles to meet Bob Dylan.', 'The band received the Lifetime Achievement Award at the ceremony.', 'The Government of India awarded him with the Padma Shri in 1984, the Padma Bhushan in 2001 and the Padma Vibhushan in 2015.']"
39,40,"['The documentary Crossfire Hurricane, directed by Brett Morgen, was released in October 2012.', ""Pepper's Lonely Hearts Club Band on the Road opened."", 'The Guardian summed up, ""Bachchan seizes upon his cranky character part, making Bashkor as garrulously funny in his theories on caste and marriage as his system is backed-up.""', 'In 2018 he was the third most followed head of the state on Twitter, and the most followed world leader on Facebook and Instagram.', 'Jagger and Mick Taylor also recorded a session together in London where Taylor added lead guitar to what would be the expanded album\'s single, ""Plundered My Soul"".', 'He has won fifteen Filmfare Awards and is the most nominated performer in any major acting category at Filmfare, with 41 nominations overall.', 'He also donated ₹1.1\xa0million ($18,772) to the Maharashtra Police Welfare Fund in 2013.', 'His father was a poet, who was fluent in Awadhi and Urdu.', 'The show also included the concert debut of ""Honky Tonk Women"", which had been released the previous day.', 'During 1995–96, the project yielded a television miniseries, an eight-volume video set, and three two-CD/three-LP box sets featuring artwork by Klaus Voormann.']"
40,41,"['In its budget for the second year after it took office, the Modi government reduced healthcare spending by 15%.', 'During the tour the band recorded their second single, a Lennon–McCartney-penned number entitled ""I Wanna Be Your Man"".', 'Described as engineering a political realignment towards right-wing politics, Modi remains a figure of controversy domestically and internationally over his Hindu nationalist beliefs and his role during the 2002 Gujarat riots, cited as evidence of an exclusionary social agenda.', ""Modi's efforts at centralisation have been linked to an increase in the number of senior administration officials resigning their positions."", 'In the early 80s, Bachchan authorised the use of his likeness for the comic book character Supremo in a series titled The Adventures of Amitabh Bachchan.', ""The band's shows were not advertised to the public."", 'He promoted the Rolling Stones as the nasty counterpoint to the Beatles by having the band pose unsmiling on the cover of their first album.', 'He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other.', 'In 2013, the Wharton India Economic Forum (WIEF) at the Wharton School of the University of Pennsylvania cancelled a keynote video-conference speech by Modi following protests by Indian-Americans.', 'Although his surname was Shrivastava, Amitabh\'s father had adopted the pen name Bachchan (""child-like"" in colloquial Hindi), under which he published all of his works.']"
41,42,"['The BJP election manifesto had also promised to deal with illegal immigration into India in the Northeast, as well as to be more firm in its handling of insurgent groups.', 'Tendulkar scored his 39th ODI hundred on 6 February 2006 in a match against Pakistan.', '15 national health programmes, including those aimed at controlling tobacco use and supporting healthcare for the elderly, were merged with the National Health Mission.', 'Development in Gujarat was generally limited to the urban middle class, and citizens in rural areas or from lower castes were increasingly marginalised.', 'When the band went to New York to perform the numbers on The Ed Sullivan Show in January, they were ordered to change the lyrics of the refrain of ""Let\'s Spend the Night Together"" to ""let\'s spend some time together"".', 'The Bachchan family also bought shares worth $252,000 in Meridian Tech, a consulting company in U.S.', 'On 1 January 1964, the Stones\' ""I Wanna Be Your Man"" was the first song ever performed on the BBC\'s Top of the Pops.', 'Bachchan was named in the Panama Papers and Paradise Papers, leaked confidential documents relating to offshore investment.', 'This resulted in Jagger having to project himself ""over the footlights"" and the band needing to use more gimmicks, such as pyrotechnics, lights and video screens.', ""This led to discontent within the BJP regarding Modi's style of functioning and drew comparisons to the governing style of Indira Gandhi.""]"
42,43,"['In 2013 he made his Hollywood debut in The Great Gatsby making a special appearance opposite Leonardo DiCaprio and Tobey Maguire.', ""The group started out covering early rock 'n' roll and blues songs, and have never stopped playing live or recording cover songs."", 'Recording took place in British Grove Studios, London, in December 2015, and featured Eric Clapton on two tracks.', 'So he is heading the ambassador position of the ICC Cricket world cup in consecutive terms of the cricket world cup (2011 and 2015).', ""In response to a petition from Zakia Jafri (widow of Ehsan Jafri, who was killed in the Gulbarg Society massacre), in April 2009 the court also asked the SIT to investigate the issue of Modi's complicity in the killings."", 'Links between the BJP and the RSS grew stronger under Modi.', 'The planning commission had received heavy criticism in previous years for creating inefficiency in the government, and of not filling its role of improving social welfare: however, since the economic liberalisation of the 1990s, it had been the major government body responsible for measures related to social justice.', 'Bachchan starred as a young poet, Amit Malhotra, who falls deeply in love with a beautiful young girl named Pooja (Rakhee Gulzar) who ends up marrying someone else (Shashi Kapoor).', 'Jagger received a three-month prison sentence for the possession of four amphetamine tablets; Richards was found guilty of allowing cannabis to be smoked on his property and sentenced to a year in prison.', 'Sixty of the 112 tehsils which had depleted the water table in 2004 had regained their normal groundwater levels by 2010.']"
43,44,"['It reached No.', 'However, on God, Tendulkar himself is reported to have said ""I am not God of cricket.', 'His strategy was credited as key to the BJP winning an overall majority in the 1998 elections, and Modi was promoted to BJP general secretary (organisation) in May of that year.', 'Modi submitted his resignation at the April 2002 BJP national executive meeting in Goa, but it was not accepted.', 'In March 2012, he appeared on the cover of the Asian edition of Time Magazine, one of the few Indian politicians to have done so.', ""The policy did not increase the government's spending on healthcare, instead emphasising the role of private healthcare organisations."", ""I'm not thinking about retirement."", 'Bachchan then played the leading role in the film Majboor.', ""His ancestors on his father's side came from a village called Babupatti, in the Raniganj tehsil, in the Pratapgarh district, in the present-day state of Uttar Pradesh, in India."", 'It gave us a level of confidence; a pathway of how to do it.""']"
44,45,"['Modi himself was a candidate for the Lok Sabha in two constituencies: Varanasi and Vadodara.', '4 in the US.', 'I think we thought it was a bit of a laugh, and it turned out to be something of an apprenticeship for us.', ""When the band appeared on the variety show The Hollywood Palace, that week's guest host, Dean Martin, mocked both their hair and their performance."", 'In 1991, he became the first artist to receive the Filmfare Lifetime Achievement Award, which was established in the name of Raj Kapoor.', 'The Naga insurgency in northeast India had begun in the 1950s.', ""One of Modi's first visits as prime minister was to Nepal, during which he promised a billion USD in aid."", 'His father, Ramesh Tendulkar, was a well-known Marathi novelist & poet and his mother, Rajni, worked in the insurance industry.', 'He returned to Gujarat a short while later, and was assigned by the RSS to the BJP in 1985.', ""Many of Bachchan's films during this early period did not do well, but that was about to change.""]"
45,46,"['When  began to write songs, they were usually not derived from the blues, but were often surprisingly fey, slow, Mersey-type pop numbers"".', ""The album's debut at No."", 'In 2016, a wax statue of Modi was unveiled at Madame Tussaud Wax Museum in London.', 'In June 2006 it was reported that Ronnie Wood was continuing his alcohol abuse rehabilitation programme, but this did not affect the rearranged European tour schedule.', 'The government also tried to improve relations with Islamic nations in the Middle East, such as Bahrain, Iran, Saudi Arabia, and the United Arab Emirates, as well as with Israel.', 'In the 2011 IPL, against Kochi Tuskers Kerala, Tendulkar scored his maiden Twenty20\xa0hundred.', ""During the preparation for the 2007 World Cup, Tendulkar's attitude was criticised by Indian team coach Greg Chappell."", '6 in the UK and No.', 'A study by UNICEF and the Indian government found that Gujarat under Modi had a poor record with respect to immunisation in children.', ""When he learned they had been performing at the rival Top Ten Club in breach of their contract, he gave the band one month's termination notice, and reported the underage Harrison, who had obtained permission to stay in Hamburg by lying to the German authorities about his age.""]"
46,47,"['The band have been tax exiles ever since, meaning they can no longer use Britain as their main residence.', ""As icons of the 1960s counterculture, Gould continues, they became a catalyst for bohemianism and activism in various social and political arenas, fuelling movements such as women's liberation, gay liberation and environmentalism."", 'Using the Rolling Stones Mobile Studio, they held recording sessions in the basement.', 'Five years later, in 1983, he received a Master of Arts degree in political science from Gujarat University, graduating with a first class as an external distance learning student.', 'At the Beacon Theater show, music executive Ahmet Ertegun fell and later died from his injuries.', ""When the BKS staged a farmers' demonstration Modi ordered their eviction from state-provided houses, and his decision to demolish 200 illegal temples in Gandhinagar deepened the rift with the VHP."", 'Tendulkar is cross-dominant: he bats, bowls and throws with his right hand, but writes with his left hand.', ""Chappell also believed that Tendulkar's repeated failures were hurting the team's chances."", ""The accompanying Voodoo Lounge Tour lasted into the following year and grossed $320 million, becoming the world's highest-grossing tour at the time."", ""Modi's personality has been variously described by scholars and biographers as energetic, arrogant, and charismatic.""]"
47,48,"['As a result, six covers from their extensive repertoire were chosen to complete the album.', 'In the five-match ODI series against Sri Lanka in 2009–10, Tendulkar scored 69, 43, 96 not out and 8 in the first four matches, with the fifth match being abandoned as the pitch was deemed unfit and potentially dangerous.', 'It was also the beginning of their collaboration with producer Jimmy Miller.', 'This speculation, however, was later considered to be false.', 'The album met with strong reviews and sales, going double platinum in the US.', 'He was conferred the 2018 Seoul Peace Prize in recognition of his dedication to improving international co-operation, raising global economic growth, accelerating the Human Development of the people of India by fostering economic growth and furthering the development of democracy through anti-corruption and social integration efforts.', 'In 1971 he became a full-time worker for the RSS.', 'According to The Economic Times, his intention was to explain the workings of the RSS to his readers and to reassure RSS members that he remained ideologically aligned with them.', 'Another legal battle over drugs, dating back to their stay in France, interrupted the making of Goats Head Soup.', 'They issued another hits compilation in 1993 entitled Jump Back, which reached No.']"
48,49,"['Modi kept his marriage secret for most of his career.', 'Modi submitted his resignation at the April 2002 BJP national executive meeting in Goa, but it was not accepted.', 'This led to the period Richards has referred to as ""World War III"".', 'Bruce Springsteen and blues rock band the Black Keys joined the band on the final night.', 'Later in his career, Tendulkar was a part of the Indian team that won the 2011 World Cup, his first win in six World Cup appearances for India.', '11 in the US.', ""Who knows where these things come from, but I guess  was a reaction to what we'd done in our time off and also that severe dose of reality."", ""A proposal for the controversial Uniform Civil Code was a part of the BJP's election manifesto."", 'Emulation of their clothing and especially their hairstyles, which became a mark of rebellion, had a global impact on fashion.', ""In the controversial New Years' Test at Sydney, Tendulkar scored an unbeaten 154, even though India lost the Test.""]"
49,50,"[""I'm not thinking about retirement."", 'The episode was shot in Jim Corbett National Park, Uttarakhand and was broadcast in 180 countries along India.', 'Sticky Fingers reached number one in both the UK and the US.', 'Ajit told Achrekar that he was feeling self-conscious due to the coach observing him, and was not displaying his natural game.', ""The government received some criticism for freezing the bank accounts of environmental group Greenpeace, citing financial irregularities, although a leaked government report said that the freeze had to do with Greenpeace's opposition to GM crops."", 'The band have received seven Grammy Awards, four Brit Awards, an Academy Award (for Best Original Song Score for the 1970 film Let It Be) and fifteen Ivor Novello Awards.', 'But Mumbai Indians failed to qualify for semifinals after losing the initial two matches.', 'Musicologist Robert Palmer attributes the endurance of the Rolling Stones to their being ""rooted in traditional verities, in rhythm-and-blues and soul music"", while ""more ephemeral pop fashions have come and gone"".', 'During the riots, police officers often did not intervene in situations where they were able.', '23) and ""Almost Hear You Sigh"".']"
50,51,"['Recognising that their shows were no longer about the music, they decided to make the August tour their last.', ""In 1981, he starred in Yash Chopra's melodrama film Silsila, where he starred alongside his wife Jaya and also Rekha."", 'This led to Bachchan being dubbed as ""angry young man"", a journalistic catchphrase which became a metaphor for the dormant rage, frustration, restlessness, sense of rebellion and anti-establishment disposition of an entire generation, prevalent in 1970s India.', 'One week later, Koschmider had McCartney and Best arrested for arson after they set fire to a condom in a concrete corridor; the authorities deported them.', 'Officials in the government, including the Home Minister, defended the conversion programmes.', ""Besides school cricket, he also played club cricket, initially representing John Bright Cricket Club in Bombay's premier club cricket tournament, the Kanga League, and later went on to play for the Cricket Club of India."", 'He required an emergency splenectomy and remained critically ill in hospital for many months, at times close to death.', 'McCartney\'s ""Eleanor Rigby"" made prominent use of a string octet; Gould describes it as ""a true hybrid, conforming to no recognisable style or genre of song"".', 'Chasing 387 for victory in that match, Tendulkar scored 103 not out and shared a 163-run unbroken fifth wicket partnership with Yuvraj Singh.', ""album, the group's fifth studio LP, mirrored A Hard Day's Night by featuring soundtrack songs on side one and additional songs from the same sessions on side two.""]"
51,52,"['Cases of sedition were filed against individuals criticising the government.', 'He introduced him to Ramakant Achrekar, a famous cricket coach and a club cricketer of repute, at Shivaji Park, Dadar.', 'In 2013 he made his Hollywood debut in The Great Gatsby making a special appearance opposite Leonardo DiCaprio and Tobey Maguire.', 'The acquisition gave him control over the publishing rights to more than 200 Beatles songs, as well as 40,000 other copyrights.', ""Lennon and McCartney were watching the live broadcast at Lennon's apartment at the Dakota in New York, which was within walking distance of the NBC studio where the show was being broadcast."", 'He recalled the band\'s insistence ""that everything on Sgt.', ""In July 2014, he captained the MCC side in the Bicentenary Celebration match at Lord's."", 'In May 2014, La Trobe University in Australia named a Scholarship after Bachchan.', 'After Martin suggested rerecording ""Please Please Me"" at a faster tempo, a studio session in late November yielded that recording, of which Martin accurately predicted, ""You\'ve just made your first No.1.""', 'Amitabh Bachchan (pronounced\xa0; born Inquilaab Srivastava; 11 October 1942) is an Indian film actor, film producer, television host, occasional playback singer and former politician.']"
52,53,"['I thought, \'We\'ve had it now.\'""', 'In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office.', 'In 2008, Sunil Gavaskar, in an article he wrote in the AFP, remarked that ""it is hard to imagine any player in the history of the game who combines classical technique with raw aggression like the little champion does"".', 'In 1982, ACC was acquired in a takeover by Australian business magnate Robert Holmes à Court for £60 million.', 'In it, Modi argued that scavenging was a ""spiritual experience"" for Valmiks, a sub-caste of Dalits.', 'Making innovative use of technology while expanding the possibilities of recorded music, the Beatles urged experimentation by Martin and his recording engineers.', 'Released in early December, its eight original compositions stood out, demonstrating the growing maturity of the Lennon–McCartney songwriting partnership.', 'He received positive reviews from critics who hailed his performance as his best ever since Black.', 'If he became exhausted, Achrekar would put a one-rupee coin on the top of the stumps, and the bowler who dismissed Tendulkar would get the coin.', 'Bachchan turned producer during his temporary retirement period, setting up Amitabh Bachchan Corporation, Ltd. (ABCL) in 1996.']"
53,54,"['Modi travelled around India for two years and visited a number of religious centres before returning to Gujarat.', 'In their tour opener, Australia faced the then Ranji Champions Mumbai at the Brabourne Stadium in a three-day first class match.', 'A week later, Sgt.', 'In its wake, Vee-Jay released Introducing...', 'He took the oath of office on 4 June.', 'He bickers with the maids, harrows his hapless helper, and expects that Piku stay unmarried so she can attend to him.', ""Bachchan's father died in 2003, and his mother in 2007."", 'The Bachchan family also bought shares worth $252,000 in Meridian Tech, a consulting company in U.S.', 'It became their first single to sell a million copies, and remained the biggest-selling record in the UK until 1978.', 'The newspaper published a series of articles in which Mann offered detailed analyses of the music, lending it respectability.']"
54,55,"[""The Beatles continued to absorb influences long after their initial success, often finding new musical and lyrical avenues by listening to their contemporaries, including Bob Dylan, the Who, Frank Zappa, the Lovin' Spoonful, the Byrds and the Beach Boys, whose 1966 album Pet Sounds amazed and inspired McCartney."", 'It was dismissed as ""blatant rubbish"" by the Daily Express; the Daily Mail called it ""a colossal conceit""; and The Guardian labelled the film ""a kind of fantasy morality play about the grossness and warmth and stupidity of the audience"".', ""He looked the embodiment of India's famous opener, Gavaskar, and indeed was wearing a pair of his pads."", ""Modi emphasised his government's efforts at sanitation as a means of ensuring good health."", 'In their tour opener, Australia faced the then Ranji Champions Mumbai at the Brabourne Stadium in a three-day first class match.', 'All This and World War II (1976) was an unorthodox nonfiction film that combined newsreel footage with covers of Beatles songs by performers ranging from Elton John and Keith Moon to the London Symphony Orchestra.', 'Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn\'t.', 'Recently they made their first overseas investment in Ziddu.com, a cloud based content distribution platform.', 'The Government of India honoured him with the Padma Shri in 1984, the Padma Bhushan in 2001 and the Padma Vibhushan in 2015 for his contributions to the arts.', 'Documentaries and filmed performances']"
55,56,"['He announced his retirement from the IPL after his team, Mumbai Indians, beat Chennai Super Kings by 23 runs at the Eden Gardens in Kolkata on 26 May to win the Indian Premier League 2013.', 'The show was well received.', 'Coolie injury', 'He has a younger brother, Ajitabh.', 'In 2019, Tendulkar was inducted into the ICC Cricket Hall of Fame.', 'Bachchan has continued to do favours for the Samajwadi Party, including appearing in advertisements and political campaigns.', 'Described as ""mainly a relentless spoof of Bond"", it inspired a mixed response among both reviewers and the band.', 'A wave of Beatles nostalgia and persistent reunion rumours in the United States during the 1970s led several entrepreneurs to make public offers to the Beatles for a reunion concert.', 'Modi refused to remove a government minister from her position after a popular outcry resulted from her referring to religious minorities as ""bastards.""', 'Gould describes it as ""a great deal of raw footage showing a group of people getting on, getting off, and riding on a bus"".']"
56,57,"['He said ""It\'s been a tough phase for me\xa0...', 'At the same time another effort to reunite the Beatles for the same cause was sponsored by United Nations Secretary-General Kurt Waldheim.', ""The magnitude of the BJP's victory led many commentators to say that the election constituted a political realignment away from progressive parties and towards the right-wing."", 'Harrison echoed Martin\'s description of his stabilising role: ""I think we just grew through those years together, him as the straight man and us as the loonies; but he was always there for us to interpret our madness – we used to be slightly avant-garde on certain days of the week, and he would be there as the anchor person, to communicate that through the engineers and on to the tape.""', 'The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests including an innings of 88 in the second Test.', 'Bachchan was again nominated for the Filmfare Best Actor Award for his role in the film.', ""Renowned film director Satyajit Ray was so impressed with Bachchan's voice that he decided to use Bachchan as the narrator in his 1977 film Shatranj Ke Khilari (The Chess Players)."", 'The Government of India honoured him with the Padma Shri in 1984, the Padma Bhushan in 2001 and the Padma Vibhushan in 2015 for his contributions to the arts.', 'Eventually, Bachchan became one of the most successful leading men of the film industry.', ""Epstein, in an effort to maximise the Beatles' commercial potential, encouraged them to adopt a professional approach to performing.""]"
57,58,"['And the words were almost irrelevant.""', 'Amitabh was required to use his singing voice for the first time in a song from the film Mr. Natwarlal in which he starred with Rekha.', 'Bachchan was slated to play a supporting role in his first international film, Shantaram, directed by Mira Nair and starring Hollywood actor Johnny Depp in the lead.', 'He holds a 3.4% equity in Stampede Capital, a financial technology firm specialising in cloud computing for financial markets.', ""Writing for NDTV, Troy Ribeiro of Indo-Asian News Service (IANS) stated, 'Amitabh Bachchan as Deepak Sehgall, the aged defence lawyer, shines as always, in a restrained, but powerful performance."", 'Sachin has scored more than 500 runs in IPL in two different seasons as a captain.', 'In 2010, the official canon of thirteen Beatles studio albums, Past Masters, and the ""Red: and ""Blue"" greatest-hits albums were made available on iTunes.', ""In 1968, they founded Apple Corps, a multi-armed multimedia corporation that continues to oversee projects related to the band's legacy."", 'Nonetheless, his role in the 2002 Gujarat riots continues to attract criticism and controversy.', 'Tendulkar further enhanced his reputation as a future great during the 1991–92 tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia.']"
